start_id,end_id,relation_type,role,share,percentage,start_date,end_date,status
P0018,C0020,OWNS,Commissioner,,50,2020-06-24,,Recent
P0019,C0020,OWNS,Shareholder,,50,2020-06-24,,Recent
P0020,C0020,DIRECTOR_OF,Director,,,2020-06-24,,Recent
P0021,C0021,DIRECTOR_OF,Commissioner,,,2020-08-24,,Recent
P0022,C0021,DIRECTOR_OF,Director,,,2020-08-24,,Recent
C0022,C0021,OWNS,Shareholder,,99,2020-08-24,,Recent
C0023,C0021,OWNS,Shareholder,,1,2020-08-24,,Recent
C0020,C0024,OWNS,Shareholder,,0.9,2021-04-09,,Recent
C0021,C0024,OWNS,Shareholder,,0.1,2021-04-09,,Recent
C0011,C0024,OWNS,Shareholder,,99,2021-04-09,,Recent
P0023,C0024,DIRECTOR_OF,Director,,,2021-04-09,,Recent
P0024,C0024,DIRECTOR_OF,Commissioner,,,2021-04-09,,Recent
P0026,C0026,DIRECTOR_OF,Director,,,2022-12-30,,Recent
P0027,C0026,DIRECTOR_OF,Commissioner,,,2022-12-30,,Recent
C0020,C0026,OWNS,Shareholder,,0.03,2022-12-30,,Recent
C0021,C0026,OWNS,Shareholder,,34.82,2022-12-30,,Recent
C0011,C0026,OWNS,Shareholder,,65.15,2022-12-30,,Recent
P0025,C0025,DIRECTOR_OF,Commissioner,,,,,Recent
P0015,C0025,DIRECTOR_OF,Director,,,,,Recent
C0020,C0025,OWNS,Shareholder,,,,,Recent
C0021,C0025,OWNS,Shareholder,,,,,Recent
C0011,C0025,OWNS,Shareholder,,,,,Recent
P0025,C0027,DIRECTOR_OF,Commissioner,,,2018-10-02,,Recent
P0015,C0027,DIRECTOR_OF,Director,,,2018-10-02,,Recent
C0020,C0027,OWNS,Shareholder,,0.04,2018-10-02,,Recent
C0021,C0027,OWNS,Shareholder,,38.46,2018-10-02,,Recent
C0011,C0027,OWNS,Shareholder,,61.5,2018-10-02,,Recent
P0026,C0028,DIRECTOR_OF,Director,,,2022-12-30,,Recent
P0027,C0028,DIRECTOR_OF,Commissioner,,,2022-12-30,,Recent
C0020,C0028,OWNS,Shareholder,,0.26,2022-12-30,,Recent
C0021,C0028,OWNS,Shareholder,,25.69,2022-12-30,,Recent
C0011,C0028,OWNS,Shareholder,,74.05,2022-12-30,,Recent
P0015,C0029,DIRECTOR_OF,Director,,,2022-12-30,,Recent
P0025,C0029,DIRECTOR_OF,Commissioner,,,2022-12-30,,Recent
C0020,C0029,OWNS,Shareholder,,0.14,2022-12-30,,Recent
C0021,C0029,OWNS,Shareholder,,12.05,2022-12-30,,Recent
C0011,C0029,OWNS,Shareholder,,87.8,2022-12-30,,Recent
