start_id,end_id,relation_type,role,share,percentage,start_date,end_date,status
P0016,C0012,DIRECTOR_OF,Director,,,2022-03-31,2024-09-06,Recent
P0017,C0012,DIRECTOR_OF,Commissioner,,,2022-03-31,2024-09-06,Recent
C0013,C0012,OWNS,Shareholder,,95%,2022-03-31,2024-09-06,Recent
C0014,C0012,OWNS,Shareholder,,5%,2022-03-31,2024-09-06,Recent
C0016,C0015,OWNS,Shareholder,,95%,2024-08-28,2024-09-06,Recent
C0017,C0015,OWNS,Shareholder,,5%,2024-08-28,2024-09-06,Recent
P0001,C0015,DIRECTOR_OF,Director,,,2024-08-28,2024-09-06,Recent
P0015,C0015,DIRECTOR_OF,Commissioner,,,2024-08-28,2024-09-06,Recent
C0013,C0018,OWNS,Shareholder,,95%,2022-03-31,2024-03-25,Recent
C0014,C0018,OWNS,Shareholder,,5%,2022-03-31,2024-03-25,Recent
P0016,C0018,DIRECTOR_OF,Director,,,2022-03-31,2024-03-25,Recent
P0017,C0018,DIRECTOR_OF,Commissioner,,,2022-03-31,2024-03-25,Recent
P0001,C0019,DIRECTOR_OF,Commissioner,,,2021-10-19,2023-10-12,Recent
P0015,C0019,DIRECTOR_OF,Director,,,2021-10-19,2023-10-12,Recent
C0016,C0019,OWNS,Shareholder,,5%,2021-10-19,2023-10-12,Recent
C0017,C0019,OWNS,Shareholder,,95%,2021-10-19,2023-10-12,Recent
